show_id,title,country,release year,locations
80025744,Sense8,United States,2015,Clarion Alley between Valencia & Mission St.
80025744,Sense8,United States,2015,Harrison & 20th
80025744,Sense8,United States,2015,Folsom
80025744,Sense8,United States,2015,16th St.
80025744,Sense8,United States,2015,S. Van Ness
80025744,Sense8,United States,2015,22nd St.
80025744,Sense8,United States,2015,Harrison
80025744,Sense8,United States,2015,20th
80025744,Sense8,United States,2015,Z Space Studios; 450 Florida St.
80025744,Sense8,United States,2015,375 Castro St. and 17th between Castro and Diamond St.
80025744,Sense8,United States,2015,Corbett St.
80025744,Sense8,United States,2015,Romain St.
80025744,Sense8,United States,2015,Market St. overpass
80025744,Sense8,United States,2015,Grand View Ave.
80025744,Sense8,United States,2015,Vallejo Street Garage; 766 Vallejo St.
80025744,Sense8,United States,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.
80025744,Sense8,United States,2015,Irving St. at 9th Ave.
80025744,Sense8,United States,2015,"Dolores Park, 20th St. between Church & Dolores St."
80025744,Sense8,United States,2015,Palace of Fine Arts: 3306 Lyon St.
80025744,Sense8,United States,2015,Van Ness and 12th St.
80025744,Sense8,United States,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl."
80025744,Sense8,United States,2015,18th Street between Guerrero and Valencia Streets
80025744,Sense8,United States,2015,"Atlas Café, 3049 20th St."
80025744,Sense8,United States,2015,Clarion Alley between Valencia & Mission St.
80025744,Sense8,United States,2015,Harrison & 20th
80025744,Sense8,United States,2015,Folsom
80025744,Sense8,United States,2015,16th St.
80025744,Sense8,United States,2015,S. Van Ness
80025744,Sense8,United States,2015,22nd St.
80025744,Sense8,United States,2015,Harrison
80025744,Sense8,United States,2015,20th
80025744,Sense8,United States,2015,Z Space Studios; 450 Florida St.
80025744,Sense8,United States,2015,375 Castro St. and 17th between Castro and Diamond St.
80025744,Sense8,United States,2015,Corbett St.
80025744,Sense8,United States,2015,Romain St.
80025744,Sense8,United States,2015,Market St. overpass
80025744,Sense8,United States,2015,Grand View Ave.
80025744,Sense8,United States,2015,Vallejo Street Garage; 766 Vallejo St.
80025744,Sense8,United States,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.
80025744,Sense8,United States,2015,Irving St. at 9th Ave.
80025744,Sense8,United States,2015,"Dolores Park, 20th St. between Church & Dolores St."
80025744,Sense8,United States,2015,Palace of Fine Arts: 3306 Lyon St.
80025744,Sense8,United States,2015,Van Ness and 12th St.
80025744,Sense8,United States,2015,"""Metzger's Apt"" 151 Alice B. Toklas Pl."
